,Train Loss
512,tensor(2.9681)
513,tensor(3.4639)
514,tensor(2.7098)
515,tensor(3.4236)
516,tensor(4.4676)
517,tensor(2.6185)
518,tensor(2.0934)
519,tensor(2.4175)
520,tensor(1.9716)
521,tensor(2.3300)
522,tensor(2.4197)
523,tensor(2.5609)
524,tensor(2.6663)
525,tensor(3.3016)
526,tensor(3.6109)
527,tensor(3.3568)
528,tensor(2.0908)
529,tensor(3.7573)
530,tensor(3.3617)
531,tensor(4.0170)
532,tensor(1.5604)
533,tensor(2.6954)
534,tensor(2.5902)
535,tensor(3.0503)
536,tensor(3.2297)
537,tensor(3.1007)
538,tensor(2.7940)
539,tensor(2.7221)
540,tensor(2.0949)
541,tensor(3.5710)
542,tensor(2.0613)
543,tensor(2.9590)
544,tensor(4.1544)
545,tensor(2.4301)
546,tensor(3.3522)
547,tensor(3.9427)
548,tensor(2.9067)
549,tensor(1.8808)
550,tensor(2.4098)
551,tensor(1.6295)
552,tensor(3.3285)
553,tensor(3.0380)
554,tensor(4.0309)
555,tensor(1.6202)
556,tensor(2.0491)
557,tensor(2.1870)
558,tensor(4.3222)
559,tensor(2.9571)
560,tensor(2.9972)
561,tensor(1.9193)
562,tensor(2.2128)
563,tensor(2.6294)
564,tensor(2.6247)
565,tensor(1.9709)
566,tensor(2.7461)
567,tensor(3.5018)
568,tensor(2.1893)
569,tensor(2.7139)
570,tensor(3.1579)
571,tensor(3.3394)
572,tensor(2.2373)
573,tensor(3.6186)
574,tensor(2.1428)
575,tensor(2.8113)
576,tensor(3.0416)
577,tensor(2.1837)
578,tensor(2.8691)
579,tensor(1.9315)
580,tensor(2.2947)
581,tensor(3.8236)
582,tensor(2.7526)
583,tensor(2.9203)
584,tensor(2.7942)
585,tensor(3.3446)
586,tensor(2.3129)
587,tensor(2.6072)
588,tensor(3.2559)
589,tensor(1.8778)
590,tensor(3.3932)
591,tensor(4.6574)
592,tensor(3.1333)
593,tensor(4.0922)
594,tensor(2.4129)
595,tensor(4.2021)
596,tensor(2.8582)
597,tensor(2.1024)
598,tensor(2.2379)
599,tensor(3.6560)
600,tensor(3.1847)
601,tensor(3.6988)
602,tensor(1.9785)
603,tensor(3.7679)
604,tensor(2.6997)
605,tensor(2.6073)
606,tensor(2.5918)
607,tensor(2.3567)
608,tensor(3.4532)
609,tensor(2.1412)
610,tensor(2.2732)
611,tensor(2.3339)
612,tensor(1.9785)
613,tensor(2.1267)
614,tensor(3.4848)
615,tensor(1.9422)
